0.32	0.87	0.14	0.68
0.4	0.21	0.78	0.68
0.88	0.84	0.8	0.3
0.02	0.67	0.75	0.61
0.54	0.06	0.81	0.98
0.2	0.54	0.73	0.85
0.73	0.31	0.15	0.08
0.81	0.69	0.65	0.65
0.87	0.99	0.2	0.8
0.62	0.75	0.65	0.43
0.14	0.31	0.86	0.74
0.35	0.63	0.65	0.12
0.77	0.45	0.31	0.31
0.39	0.14	0.99	0.24
0.23	0.32	0.7	0.75
0.61	0.85	0.81	0.44
0.95	0.94	0.98	0.69
0.65	0.05	0.39	0.49
0.04	0.69	0.38	0.39
0.04	0.52	0.99	0.75
0.28	0.91	0.63	0.08
0.96	0.09	0.49	0.3
0.14	0.55	0.67	0.63
0.38	0.94	0.53	0.07
0.86	0.03	0.3	0.39
0.5	0.2	0.69	0.95
0.79	0.09	0.41	0.69
0.4	0.3	0.78	0.74
0.65	0.24	0.63	0.27
0.08	0.62	0.32	0.27
0.69	0.82	0.75	0.65
0.35	0.3	0.94	0.92
0.84	0.89	0.91	0.38
0.22	0.88	0.39	0.33
0.86	0.86	0.32	0.88
0.71	0.78	0.64	0.57
0.8	0.4	0.23	0.33
0.39	0.38	0.85	0.32
0.38	0.07	0.82	0.01
0.66	0.09	0.69	0.46
0.26	0.39	0.95	0.63
0.15	0.87	0.62	0.22
0.65	0.81	0.69	0.55
0.81	0.66	0.26	0.82
0.27	0.63	0.69	0.39
0.35	0.7	0.41	0.15
0.91	0.98	0.61	0.58
0.54	0.06	0.74	0.86
0.95	0.62	0.28	0.01
0.35	0.71	0.01	0.32
0.2	0.48	0.98	0.84
0.62	0.24	0.77	0.17
0.73	0.65	0.23	0.02
0.27	0.38	0.76	0.63
0.84	0.88	0.04	0.86
0.9	0.63	0.83	0.6
0.7	0.04	0.7	0.82
0.95	0.83	0.64	0.5
0.41	0.11	0.61	0.78
0.22	0.44	0.67	0.99
0.76	0.86	0.74	0.61
0.27	0.65	0.52	0.28
0.86	0.91	0.88	0.62
0.51	0.05	0.95	0.66
0.1	0.79	0.5	0.12
0.99	0.68	0.8	0.42
0.8	0.62	0.09	0.65
0.72	0.55	0.1	0.17
0.44	0.1	0.61	0.98
0.09	0.85	0.55	0.21
0.31	0.16	0.95	0.9
0.79	0.94	0.83	0.48
0.61	0.42	0.24	0.33
0.73	0.92	0.74	0.39
0.89	0.72	0.78	0.38
0.31	0.5	0.87	0.85
0.39	0.9	0.52	0.26
0.72	0.88	0.02	0.95
0.46	0.35	0.96	0.05
0.5	0.09	0.84	0.78
0.21	0.62	0.33	0.09
0.62	0.01	0.88	0.1
0.44	0.28	0.88	0.99
0.57	0.23	0.6	0.85
0.88	0.96	0.09	0.88
0.58	0.37	0.9	0.08
0.9	0.05	0.34	0.41
0.9	0.41	0.27	0.36
0.54	0.92	0.36	0.35
0.67	0.32	0.66	0.2
0.36	0.64	0.57	0.26
0.72	0.14	0.63	0.37
0.39	0.08	0.77	0.96
0.9	0.7	0.74	0.63
0.09	0.47	0.63	0.8
0.63	0.05	0.52	0.63
0.62	0.27	0.67	0.77
0.4	0.69	0.74	0.7
0.35	0.04	0.85	0.86
0.36	0.34	0.75	0.37
